;Tweets;len;ID;Created;Source;Likes;RTs
159;Mengawali Senin. Jgn lupa sadari bahwa rezeki tak mesti uang. Bahwa harimu baik-baik saja ‘pun itu rezeki. Bahkan,… https://t.co/Qea2uQ6mes;139;1566529908741812224;2022-09-04 20:53:29;Twitter for iPhone;12236;4618
160;Apapun yg terjadi dgn Roma, tp jangan sampai membuat mata jadi tak bisa menikmati fajar, Mas @Puthutea. Menang atau… https://t.co/uWl1ls8EAp;140;1566528911416037377;2022-09-04 20:49:31;Twitter for iPhone;202;9
161;Besok Senin. Hih! Serem.;24;1566425097081987072;2022-09-04 13:57:00;Twitter for iPhone;645;97
162;Pemuda Ansor, Pemuda Muhammadiyah, dan Pemuda Tersesat. 🤣 https://t.co/pX21DhiVWA;81;1566389471289159681;2022-09-04 11:35:26;Twitter for iPhone;2169;108
163;Pagi di Universitas Muhammadiyah Malang. Ada kalian yg di sini jg? https://t.co/YPDI9UNCXq;90;1565901906450321408;2022-09-03 03:18:02;Twitter for iPhone;927;32
164;Mau bikin film gini. Bagus nggak? https://t.co/GtB2jDU6xz;57;1565894678595006464;2022-09-03 02:49:18;Twitter for iPhone;2357;250
165;@Puthutea Saya kok malah jadi ingin marah ini. 🤣 Kalau jadi fans itu yg totalitas gitu lho, Mas. Btw, jersey Juve i… https://t.co/yUrHjcPTp1;140;1565890686880100353;2022-09-03 02:33:27;Twitter for iPhone;69;0
166;"Berkah Jum’at. Urusan-urusan kita insyaAllah dipermudah-Nya. Kalau masih terasa sulit, tarik nafas &amp; ngopi. Lalu ja… https://t.co/tE1aaauEvE";144;1565536228350447616;2022-09-02 03:04:57;Twitter for iPhone;1763;537
167;Subuh woi!;10;1565450414773809152;2022-09-01 21:23:58;Twitter for iPhone;816;50
168;@Puthutea Wah, boleh itu. Nanti saya jelaskan secara seksama dan dalam tempo yg sesingkat-singkatnja.;101;1565383843669893123;2022-09-01 16:59:26;Twitter for iPhone;5;0
169;@Puthutea Itu perutnya knp ya?;30;1565379530855895040;2022-09-01 16:42:18;Twitter for iPhone;7;0
170;"RT @Adriandhy: ✨“MALAM INI, DONGENGNYA SPESIAL..” ✨
.
Dengan bangga dan riang hati, saya persembahkan OFFICIAL TEASER #FilmJUMBO, film anim…";140;1565372150688538624;2022-09-01 16:12:58;Twitter for iPhone;0;2186
171;@Puthutea Itu konsepnya “Berbeda Tapi Bersama”. Ya kyk jersey Juve lah, Mas. Itu lho yg scudettonya paling banyak.;114;1565370317005983744;2022-09-01 16:05:41;Twitter for iPhone;89;1
172;Membuka hari pertama September dgn kabar gembira ‘kah?;54;1565232425554235392;2022-09-01 06:57:45;Twitter for iPhone;490;31
173;"@Puthutea Emang fans Roma selalu arogan &amp; sombong.";54;1565225002856640513;2022-09-01 06:28:15;Twitter for iPhone;89;4
174;Hub: @jek___. https://t.co/WQ28ET0Uy0;37;1565171956495699968;2022-09-01 02:57:28;Twitter for iPhone;3077;485
175;Masih pagi, sudah ketemu masalah?;33;1565144443824455681;2022-09-01 01:08:09;Twitter for iPhone;808;86
176;@iqbal_daryono @AgusMagelangan Kudu sat set sat set.;52;1564994279654961152;2022-08-31 15:11:27;Twitter for iPhone;17;1
177;@jek___ Maaf, sering dibicarakan tp kok gak centang biru, Tad? Dajjal aja centang biru lho.;91;1564961772770979843;2022-08-31 13:02:16;Twitter for iPhone;368;24
178;@jek___ Apalah arti dibicarakan penduduk dunia tp tak dibicarakan penduduk langit?;82;1564955610923220992;2022-08-31 12:37:47;Twitter for iPhone;260;23
179;Ini siapa: @jek___? Sering dimention followers soal akhlaknya yg tekor.;71;1564914509071822848;2022-08-31 09:54:28;Twitter for iPhone;1857;123
180;@Puthutea Tahun ini Juve fokus Ebtanas aja. 🤣;45;1564721364069625856;2022-08-30 21:06:58;Twitter for iPhone;0;0
181;@araanr_ Waini.;15;1564719145135968256;2022-08-30 20:58:09;Twitter for iPhone;0;0
182;@Puthutea Roma aman?;20;1564716724183654400;2022-08-30 20:48:32;Twitter for iPhone;1;0
183;@Puthutea Semua bumi adalah masjid, Mas. 😉;42;1564715412150833152;2022-08-30 20:43:19;Twitter for iPhone;13;1
184;Kalau ke Lampung, enaknya kemana?;33;1564714376438771714;2022-08-30 20:39:12;Twitter for iPhone;270;6
185;Awali hari dgn optimisme. Bismillah!;36;1564372996734693376;2022-08-29 22:02:41;Twitter for iPhone;945;194
186;Kerja lancar, Lur?;18;1564155880521625602;2022-08-29 07:39:57;Twitter for iPhone;734;40
187;RT @nu_online: Profesi Para Nabi: dari Arsitek hingga Desain​​​​​​​er Baju Besi https://t.co/ptctOJw1j6;103;1563820364395728897;2022-08-28 09:26:43;Twitter for iPhone;0;30
188;"RT @mohammedsabeq: Bone &amp; Bali kelar! Selanjutnya tur buku &amp; stand-up comedy #BeginiDosaBegituDosa ada 4 kota lagi; Malang, Jogja, Jakarta,…";148;1563794908028080128;2022-08-28 07:45:34;Twitter for iPhone;0;6
189;Minggu kemana?;14;1563766880506040320;2022-08-28 05:54:12;Twitter for iPhone;225;4
190;Menang sih ini Juve kayaknya.;29;1563585627265781760;2022-08-27 17:53:58;Twitter for iPhone;166;2
191;Malam Minggu ngapain?;21;1563501045543682048;2022-08-27 12:17:52;Twitter for iPhone;371;9
192;"RT @0xwin07Pick: Buku Bib @Husen_Jafar sangat menarik..
Walaupun saya baru baca samplenya  di playbook.. 😊
Saya iseng bikin ilustrasi bukun…";140;1563091539277934592;2022-08-26 09:10:38;Twitter for iPhone;0;4
193;"RT @Araghutama: Farel...
Viralmu itu paling-paling 1-2 tahun. Tp kalo sampe ngga sekolah, yang rugi kamu...label kalo km udah ga terkenal y…";140;1562787179755028483;2022-08-25 13:01:13;Twitter for iPhone;0;311
194;"Maka, saya putuskan utk merevisi buku ini &amp; menerbitkannya dlm bentuk cetak insyaAllah. Ini buku bertema “Islam Cin… https://t.co/Ey23u6KSrT";144;1562317609332133888;2022-08-24 05:55:19;Twitter for iPhone;123;12
195;RT @ozaynsong: Buku ke5 dari 15 target 2022. BAGUS BANGET @Husen_Jafar https://t.co/eIBGJzqB7O;94;1562283000951296000;2022-08-24 03:37:47;Twitter for iPhone;0;7
196;@farizalniezar Waini perlu di-Bahtsul Masail-kan. 🤣;51;1562035472288735232;2022-08-23 11:14:12;Twitter for iPhone;27;1
197;RT @remotivi: Video-video di Youtube sering jadi medium hiburan dan edukasi bagi anak. Tapi orang tua patut waspada dengan video yang tampa…;140;1562030017818664960;2022-08-23 10:52:32;Twitter for iPhone;0;1459
198;"RT @Sport77Official: SOBAT SPORTY BERTANYA‼️

Habib Ja'far akan hadir dalam Sportcast77 episode mendatang.
 
Buat kalian yang ingin menitip…";140;1561943591051599872;2022-08-23 05:09:06;Twitter for iPhone;0;17
199;@ulil Lancar kuliahnya insyaAllah, Billy.;41;1561393664860909568;2022-08-21 16:43:53;Twitter for iPhone;32;0
